"Model","Hull type","Category","Sailboat builder","Sailboat designer","Country","Construction","First built hull","Last built hull","Appendages","Helm","Rudder","Unsinkable","Trailerable","EC design category","Standard public price ex. VAT (indicative only)","Hull length","Beam (width)","Draft","Light displacement (MLC)","Upwind sail area","Downwind sail area","Mainsail area","Genoa area","Asymmetric spinnaker area","Rigging type","Mast configuration","Rotating spars","Number of levels of spreaders","Spreaders angle","Spars construction","Upwind sail area to displacement","Downwind sail area to displacement","Engine(s)","Engine(s) power","Fuel type","Cockpit","Cabin(s) (min./max.)","Berth(s) (min./max.)","Head(s)","Version","Waterline length","Ballast weight","Ballast type","Symmetric spinnaker area","I","J","P","E","HN (French rating)","Displacement-length ratio (DLR)","Ballast ratio","Critical hull speed","Fuel tank capacity","Berth(s)","Freshwater tank capacity","Maximum headroom","Draft when appendages up","Overall length","Cabin(s)","Fridge/ice-box capacity","Head headroom","Berth length","Berth width","Mast height from DWL","Standing rigging","Engine(s) power (min./max.)","Galley headroom","Saloon table length","Saloon table width (min./max.)","Chart table","Berth width (head/elbows/knees/feet)","French customs tonnage","Holding tank capacity","Sailboat collection","Number of hulls built","Jib area","Solent area","IOR rating","Waterline beam (width)","Staysail area","Righting moment @ 1°","Righting moment @ 30°","Award(s)","Head(s) (min./max.)","Boiler capacity","Former French navigation category","Saloon table width","Maximum displacement (MLDC)","Capacity","Mizzen sail area","Gennaker area","Code 0 area","Code 5 area","Fore freeboard","Mid-ship freeboard","Wetted area","Maximum transverse section","Stormjib area","Saloon width (min./max.)","Berth width (head/feet)","Folding type","Overall width folded","Overall length folded","Sailboat range","Running backstays","Yankee area","Crew","D-PN rating","Maximum righting moment","PY (Portsmouth Yardstick) rating","Water ballast","Water ballast capacity","Trapezes","Saloon width","Mizzen staysail area","Prismatic coefficient","source"
"Albin Vega","Monohull","Cruising sailboat","Albin Marine","Per Brohäll","Sweden","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich Divinicell fiberglass polyester","1965","1979","Keel : semi-full keel","Single tiller","Single rudder on skeg","No","No","","N/A €","27’ 1”8.25 m","8’ 1”2.46 m","3’ 10”1.17 m","5071 lb2300 kg","403 ft²37.4 m²","665 ft²61.8 m²","159 ft²14.8 m²","243 ft²22.6 m²","","Sloop Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","231 ft²/T21.46 m²/T","382 ft²/T35.47 m²/T","1 inboard engine","10 HP","Diesel","Closed aft cockpit","","","","","24’ 7”7.5 m","2017 lb915 kg","Cast iron","506 ft²47 m²","30’ 7”9.34 m","10’ 2”3.1 m","25’ 11”7.9 m","10’ 10”3.3 m","8.0","154","40 %","6.65 knots","9.2 gal35 liters","","17.2 gal65 liters","","","","","","","6’1.83 m","","","1x19 strand wire continuous","","","","","","","","","","About 3450","145 ft²13.5 m²","212 ft²19.7 m²","","","58 ft²5.4 m²","289 lb.ft40 kg.m","6799 lb.ft940 kg.m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Viggen","Monohull","Cruising sailboat","Albin Marine","Per Brohäll","Sweden","Hull and deck: GRP (glass reinforced polyester)","1966","1977","Keel : fin without bulb","Single tiller","Single rudder on skeg","No","Yes","","N/A €","23’ 4”7.1 m","7’ 4”2.24 m","3’ 7”1.11 m","3086 lb1400 kg","320 ft²29.7 m²","573 ft²53.2 m²","110 ft²10.2 m²","210 ft²19.5 m²","","Sloop Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","255 ft²/T23.73 m²/T","458 ft²/T42.51 m²/T","No engine","","","Closed aft cockpit","","","","","19’ 8”6 m","1323 lb600 kg","","463 ft²43 m²","","","","","","184","43 %","5.95 knots","","4","11.9 gal45 liters","","","","","","","","","","1x19 strand wire continuous","","","","","","","","","","About 1450","108 ft²10 m²","","19.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Alegria 67","Catamaran","Offshore cruising catamaran","Fountaine Pajot","Berret Racoupeau Yachts Design","France","GRP (glass reinforced polyester):  - Hull: Sandwich PVC fiberglass polyester (vacuum infusion) - Deck: Sandwich balsa fiberglass polyester (vacuum infusion)","2018","Still in production","Skegs : skeg on each hull","Twin helm wheels","Twin spade rudders","No","No","A","About 1 820 000 € (2018)","63’ 11”19.49 m","32’ 4”9.84 m","5’ 7”1.7 m","77162 lb35000 kg","2476 ft²230 m²","","1399 ft²130 m²","1076 ft²100 m²","","Sloop Marconi (square top mainsail) 19/20","Deck stepped mast","No","2","Swept-back (diamond)","Aluminum spars","231 ft²/T21.5 m²/T","","2 inboard engines","","Diesel","Aft cockpit and flybridge","4  / 8","8  / 16","","","","","","","","","","","","","","","317 gal1200 liters","","277.4 gal1050 liters","","","66’ 10”20.36 m","","138.7 gal525 liters","","6’ 7”2 m","5’ 2”1.6 m","","1x19 strand wire discontinuous","110 HP / 150 HP","","","","","","","","","","","","","","","","","2019: Multihull of the Year: Over 50 feet","4  / 8","39.6 gal150 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Alizé","Monohull","Dayboat","Jeanneau","Van De Stadt Design","France","Hull and deck: GRP (glass reinforced polyester)","1964","1975","Centerboard : pivoting centerboard in the keel","Single tiller","Single transom hung rudder","No","Yes","","N/A €","19’ 10”6.05 m","6’ 8”2.05 m","3’ 11”1.2 m","992 lb450 kg","201 ft²18.7 m²","320 ft²29.7 m²","126 ft²11.7 m²","75 ft²7 m²","","Sloop Marconi 3/4","Deck stepped mast","No","1","Swept-back","Aluminum spars","343 ft²/T31.84 m²/T","544 ft²/T50.58 m²/T","1 outboard engine","","Gas","Aft cockpit","","2  / 4","","","18’5.5 m","265 lb120 kg","","194 ft²18 m²","","","","","","77","27 %","5.69 knots","","","","4’ 1”1.25 m","1’ 4”0.4 m","","","","","","","","1x19 strand wire continuous","3 HP / 10 HP","","","","","","2.62 Tx","","","About 350","54 ft²5 m²","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Amel 50","Monohull","Offshore cruising sailboat","Amel","Berret Racoupeau Yachts Design","France","Hull and deck: GRP (glass reinforced polyester)","2017","Still in production","Keel : L-shaped keel (with bulb)","Single helm wheel","Twin spade rudders","No","No","A","About 790 000 € (2020)","50’ 11”15.51 m","15’ 8”4.79 m","7’ 1”2.15 m","41337 lb18750 kg","1356 ft²126 m²","","667 ft²62 m²","689 ft²64 m²","","Sloop Marconi (in-mast furling mainsail) masthead","Deck stepped mast","No","2","Swept-back","Aluminum spars","192 ft²/T17.85 m²/T","","1 inboard engine","110 HP","Diesel","Center cockpit","","6  / 8","2","","47’ 7”14.5 m","11817 lb5360 kg","","","","","","","","174","29 %","9.24 knots","178.3 gal675 liters","","158.5 gal600 liters","6’ 4”1.93 m","","","3","","6’ 7”2 m","6’ 7”2 m","5’ 2”1.6 m","73’ 10”22.5 m","","","","3’ 10”1.15 m","","2’ 11”0.87 m x 1’ 10”0.55 m","","","","","","","","","13’ 4”4.06 m","258 ft²24 m²","","","2020: SAIL magazine - Best Monohull Cruising Boat 41 to 50ft","","","","2’ 10”0.86 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Amel 54","Monohull","Offshore cruising sailboat","Amel","Amel Design Office","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2005","2010","Keel : L-shaped keel (with bulb)","Single helm wheel","Single rudder on skeg","No","No","A","About 690 000 € (2006)","53’ 10”16.4 m","15’ 8”4.8 m","6’ 11”2.1 m","38581 lb17500 kg","1507 ft²140 m²","","","","","Ketch Marconi (in-mast furling mainsail) masthead","Deck stepped mast","No","2","Swept-back","Aluminum spars","224 ft²/T20.77 m²/T","","1 inboard engine","110 HP","Diesel","Center cockpit","2  / 3","","2","","45’ 1”13.75 m","11244 lb5100 kg","","","","","","","","191","29 %","9.00 knots","237.8 gal900 liters","7","237.8 gal900 liters","7’ 5”2.25 m","","56’ 5”17.2 m","","","","6’ 7”2 m","5’ 2”1.6 m","","1x19 strand wire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Amel 55","Monohull","Offshore cruising sailboat","Amel","Berret Racoupeau Yachts Design","France","Hull and deck: GRP (glass reinforced polyester)","2012","2018","Keel : L-shaped keel (with bulb)","Single helm wheel","Single rudder on skeg","No","No","A","About 980 000 € (2017)","54’ 11”16.72 m","16’ 5”4.99 m","7’ 2”2.2 m","48061 lb21800 kg","1625 ft²151 m²","2433 ft²226 m²","506 ft²47 m²","807 ft²75 m²","","Ketch Marconi (in-mast furling mainsail) masthead","Deck stepped mast","No","2","Swept-back","Aluminum spars","208 ft²/T19.35 m²/T","312 ft²/T28.96 m²/T","1 inboard engine","110 HP","Diesel","Center cockpit","2  / 3","5  / 7","2","","48’ 8”14.85 m","13007 lb5900 kg","","","","","","","","189","27 %","9.35 knots","237.8 gal900 liters","","211.3 gal800 liters","6’ 5”1.95 m","","56’ 10”17.3 m","","","","","","69’ 11”21.3 m","","","","","","","","","","","","","","","13’ 7”4.14 m","","","","","","","","","58422 lb26500 kg","10362 lb4700 kg","312 ft²29 m²","1345 ft²125 m²","1615 ft²150 m²","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Amel 60","Monohull","Offshore cruising sailboat","Amel","Berret Racoupeau Yachts Design","France","GRP (glass reinforced polyester):  - Hull: Sandwich foam fiberglass polyester  - Deck: Sandwich foam fiberglass polyester","2019","Still in production","Keel : T-shaped keel (with bulb)","Single helm wheel","Twin spade rudders","No","No","A","About 1 650 000 € (2020)","59’ 1”18 m","17’ 8”5.4 m","7’ 8”2.35 m","59525 lb27000 kg","1830 ft²170 m²","","840 ft²78 m²","990 ft²92 m²","","Sloop Marconi (in-mast furling mainsail) masthead","","No","3","Swept-back","Carbon fiber mast and aluminum boom","203 ft²/T18.89 m²/T","","1 inboard engine","180 HP","Diesel","Center cockpit","","","3","","55’ 1”16.8 m","15873 lb7200 kg","","","","","","","","161","27 %","9.95 knots","237.8 gal900 liters","6","211.3 gal800 liters","","","62’ 4”19 m","3","47.6 gal180 liters","","","","","","","","","","","","","","","","","","","14’ 10”4.5 m","388 ft²36 m²","","","2020: European Yacht of the Year: Luxury Cruiser","","13.2 gal50 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Amel 64","Monohull","Offshore cruising sailboat","Amel","Berret Racoupeau Yachts Design","France","Hull and deck: GRP (glass reinforced polyester)","2010","2018","Keel : L-shaped keel (with bulb)","Single helm wheel","Single rudder on skeg","No","No","A","About 2 150 000 € (2017)","63’ 1”19.22 m","18’ 5”5.6 m","7’ 11”2.4 m","75178 lb34100 kg","1894 ft²176 m²","3078 ft²286 m²","624 ft²58 m²","947 ft²88 m²","","Ketch Marconi (in-mast furling mainsail) masthead","Deck stepped mast","No","3","Swept-back","Aluminum spars","180 ft²/T16.74 m²/T","293 ft²/T27.2 m²/T","1 inboard engine","180 HP","Diesel","Center cockpit","3  / 4","6  / 7","3","","56’ 6”17.21 m","18739 lb8500 kg","","","","","","","","189","25 %","10.07 knots","369.8 gal1400 liters","","237.8 gal900 liters","","","64’ 4”19.6 m","","","","","","77’ 1”23.5 m","","","","","","","","","","","","","","","","377 ft²35 m²","","","","","","","","85539 lb38800 kg","10362 lb4700 kg","323 ft²30 m²","1399 ft²130 m²","1399 ft²130 m²","2131 ft²198 m²","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Aquila","Monohull","Cruiser-racer sailboat","Jeanneau","Philippe Harlé","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1975","1984","Keel : fin without bulb","Single tiller","Single semi-spade rudder","No","No","","N/A €","27’ 2”8.28 m","9’ 10”3 m","5’ 5”1.65 m","5181 lb2350 kg","409 ft²38 m²","713 ft²66.2 m²","149 ft²13.8 m²","260 ft²24.2 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","231 ft²/T21.5 m²/T","403 ft²/T37.45 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","4  / 6","1","Regatta","23’ 4”7.1 m","2205 lb1000 kg","Lead","564 ft²52.4 m²","","","27’ 8”8.45 m","9’ 6”2.9 m","14.0","186","43 %","6.47 knots","7.1 gal27 liters","","23.8 gal90 liters","5’ 5”1.65 m","","28’ 6”8.7 m","1","25.1 gal95 liters","5’ 8”1.73 m","","","37’ 1”11.3 m","Single-strand (ROD) discontinuous","8 HP / 12 HP","","","","","","6.64 Tx","","","1048","","","20.4","8’2.45 m","","","","","","","2","","7716 lb3500 kg","","","","","","3’ 5”1.04 m","3’ 2”0.98 m","180 ft²16.69 m²","11 ft²0.98 m²","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Aquila","Monohull","Cruiser-racer sailboat","Jeanneau","Philippe Harlé","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1975","1984","Keel : fin without bulb","Single tiller","Single semi-spade rudder","No","No","","N/A €","27’ 2”8.28 m","9’ 10”3 m","4’ 4”1.3 m","5732 lb2600 kg","435 ft²40.4 m²","767 ft²71.3 m²","150 ft²13.9 m²","285 ft²26.5 m²","","Sloop Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","230 ft²/T21.37 m²/T","406 ft²/T37.71 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","4  / 6","1","Shoal draft","23’ 4”7.1 m","2094 lb950 kg","Cast iron","618 ft²57.4 m²","","","28’ 1”8.55 m","9’ 6”2.9 m","11.0","206","37 %","6.47 knots","7.1 gal27 liters","","23.8 gal90 liters","5’ 5”1.65 m","","28’ 6”8.7 m","1","25.1 gal95 liters","5’ 8”1.73 m","","","37’ 1”11.3 m","1x19 strand wire continuous","8 HP / 12 HP","","","","","","6.64 Tx","","","1048","136 ft²12.6 m²","244 ft²22.7 m²","20.4","8’2.45 m","","","","","","","2","","7716 lb3500 kg","","","","","","3’ 5”1.04 m","3’ 2”0.98 m","180 ft²16.69 m²","11 ft²0.98 m²","51 ft²4.7 m²","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Arcadia","Monohull","Cruising sailboat","Jeanneau","Tony Castro Yacht Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1983","1987","Keel : fin without bulb","Single tiller","Single semi-spade rudder","No","No","","N/A €","28’ 1”8.56 m","10’ 4”3.15 m","5’ 5”1.64 m","6173 lb2800 kg","489 ft²45.4 m²","1023 ft²95 m²","161 ft²15 m²","327 ft²30.4 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","246 ft²/T22.85 m²/T","515 ft²/T47.82 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","","1","Fin keel","24’ 5”7.45 m","2359 lb1070 kg","Cast iron","861 ft²80 m²","37’ 2”11.33 m","11’ 8”3.56 m","32’ 2”9.8 m","10’3.05 m","15.5","192","38 %","6.62 knots","7.1 gal27 liters","6","23.8 gal90 liters","5’ 8”1.75 m","","29’ 6”9 m","1","7.9 gal30 liters","5’ 8”1.75 m","6’ 2”1.9 m","","","1x19 strand wire","8 HP / 15 HP","5’ 7”1.72 m","3’ 5”1.05 m","2’ 4”0.71 m / 3’0.9 m","","4’ 4”1.3 m / 4’ 1”1.24 m / 3’ 4”1.01 m / 2’ 10”0.84 m","","","","About 300","171 ft²15.84 m²","249 ft²23.15 m²","","","","","","","","","2","","","","","","","","","","","","52 ft²4.8 m²","5’ 8”1.74 m / 8’2.45 m","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Arcadia","Monohull","Cruising sailboat","Jeanneau","Tony Castro Yacht Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1983","1987","Centerboard : pivoting centerboard in the keel","Single tiller","Single semi-spade rudder","No","No","","N/A €","28’ 1”8.56 m","10’ 4”3.15 m","6’ 2”1.9 m","6834 lb3100 kg","489 ft²45.4 m²","1023 ft²95 m²","161 ft²15 m²","327 ft²30.4 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","230 ft²/T21.35 m²/T","481 ft²/T44.68 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","","1","Keel and centerboard","24’ 5”7.45 m","2976 lb1350 kg","Cast iron exterior ballast with steel centerboard","861 ft²80 m²","37’ 2”11.33 m","11’ 8”3.56 m","32’ 2”9.8 m","10’3.05 m","15.5","212","44 %","6.62 knots","7.1 gal27 liters","6","23.8 gal90 liters","5’ 8”1.75 m","3’ 4”1 m","29’ 6”9 m","1","7.9 gal30 liters","5’ 8”1.75 m","6’ 2”1.9 m","","","1x19 strand wire","8 HP / 15 HP","5’ 7”1.72 m","3’ 5”1.05 m","2’ 4”0.71 m / 3’0.9 m","","4’ 4”1.3 m / 4’ 1”1.24 m / 3’ 4”1.01 m / 2’ 10”0.84 m","","","","About 300","171 ft²15.84 m²","249 ft²23.15 m²","","","","","","","","","2","","","","","","","","","","","","52 ft²4.8 m²","5’ 8”1.74 m / 8’2.45 m","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Arcona 340","Monohull","Cruiser-racer sailboat","Arcona Yachts","SQ Yacht Design","Sweden","GRP (glass reinforced polyester):  - Hull: Sandwich Divinicell fiberglass vinylester (vacuum infusion) - Deck: Sandwich Divinicell fiberglass polyester (vacuum infusion)","2009","Still in production","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","About 128 000 € (2020)","34’ 1”10.4 m","11’ 4”3.45 m","6’ 5”1.95 m","11464 lb5200 kg","848 ft²78.8 m²","1483 ft²137.8 m²","407 ft²37.8 m²","441 ft²41 m²","","Sloop Marconi 7/8","Deck stepped mast","No","","No spreader","Aluminum spars (carbon fiber spars as an option)","283 ft²/T26.25 m²/T","494 ft²/T45.91 m²/T","1 inboard engine","20 HP","Diesel","Open aft cockpit","","4  / 6","1","Standard","32’ 2”9.8 m","4189 lb1900 kg","Cast iron fin with lead bulb","1076 ft²100 m²","48’ 2”14.7 m","12’ 1”3.7 m","47’ 1”14.35 m","15’ 8”4.8 m","","156","37 %","7.60 knots","26.4 gal100 liters","","34.3 gal130 liters","","","34’ 1”10.4 m","2","","","","","","","","","","","","","","13.2 gal50 liters","","","316 ft²29.4 m²","","","","","","","","","5.3 gal20 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Arcona 340","Monohull","Cruiser-racer sailboat","Arcona Yachts","SQ Yacht Design","Sweden","GRP (glass reinforced polyester):  - Hull: Sandwich Divinicell fiberglass vinylester (vacuum infusion) - Deck: Sandwich Divinicell fiberglass polyester (vacuum infusion)","2009","Still in production","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","About 128 000 € (2020)","34’ 1”10.4 m","11’ 4”3.45 m","5’ 11”1.8 m","11464 lb5200 kg","848 ft²78.8 m²","1483 ft²137.8 m²","407 ft²37.8 m²","441 ft²41 m²","","Sloop Marconi 7/8","Deck stepped mast","No","","No spreader","Aluminum spars (carbon fiber spars as an option)","283 ft²/T26.25 m²/T","494 ft²/T45.91 m²/T","1 inboard engine","20 HP","Diesel","Open aft cockpit","","4  / 6","1","Shoal draft","32’ 2”9.8 m","4189 lb1900 kg","Cast iron fin with lead bulb","1076 ft²100 m²","48’ 2”14.7 m","12’ 1”3.7 m","47’ 1”14.35 m","15’ 8”4.8 m","","156","37 %","7.60 knots","26.4 gal100 liters","","34.3 gal130 liters","","","34’ 1”10.4 m","2","","","","","","","","","","","","","","13.2 gal50 liters","","","316 ft²29.4 m²","","","","","","","","","5.3 gal20 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Arcona 380","Monohull","Cruiser-racer sailboat","Arcona Yachts","SQ Yacht Design","Sweden","GRP (glass reinforced polyester): Sandwich Divinicell fiberglass vinylester (vacuum infusion)","2014","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Single spade rudder","No","No","A","About 202 000 € (2020)","37’11.28 m","12’ 6”3.8 m","6’ 11”2.1 m","15102 lb6850 kg","931 ft²86.5 m²","1997 ft²185.5 m²","511 ft²47.5 m²","","","Sloop Marconi 9/10","Keel stepped mast","No","2","Swept-back","Aluminum spars","258 ft²/T23.98 m²/T","554 ft²/T51.43 m²/T","1 inboard engine","30 HP","Diesel","Open aft cockpit","","6  / 8","1","Standard","34’ 10”10.6 m","5291 lb2400 kg","","1485 ft²138 m²","53’ 1”16.2 m","13’ 10”4.2 m","52’ 6”16 m","17’ 8”5.4 m","","163","35 %","7.90 knots","35.7 gal135 liters","","52.8 gal200 liters","","","","3","","","","","64’19.5 m","1x19 strand wire discontinuous","","","","","","","","21.1 gal80 liters","","","420 ft²39 m²","","","","","","","","","6.6 gal25 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
